ID,location_name,lat,long
2356527,Piéré,11.06844,-4.09387
2356528,Pienna,10.2,-3.53333
2356529,Pien,11.46667,-1.96667
2356530,Piéla,12.70965,-0.13112
2356531,Piéga,12.11667,0.86667
2356532,Piédogo,11.95,-1.4
2356533,Pidoha,11.03333,-1.16667
2356534,Piboré,11.7,-1.31667
2356535,Piben,12.41667,-2.06667
2356536,Pibaoré,12.89441,-0.80811
2356537,Pia,13.2182,-4.0682
2356538,Pia,11.36667,-2.65
2356539,Pèyla,13.41676,-0.94815
2356540,Pétoy,14.58115,-0.3698
2356541,Pétoy Bèiga,14.57448,-0.1066
2356542,Pétopo,10.5,-3.38333
2356543,Pétooulo,14.29832,-1.08433
2356544,Pétosiré,13.85339,-2.64423
2356545,Pètogo,13.48246,-0.61395
2356546,Péto Ganga,14.42936,-1.43815
2356547,Pétèyiddé,14.25521,0.06781
2356548,Pètétolo,12.13333,-2.65
2356549,Poterkoe,13.24835,-2.62737
2356550,Pétérébay,14.1168,-1.83042
2356551,Pété Nyaki,14.06221,-0.41827
2356552,Pétèn Nangué,14.14862,-2.35353
2356553,Pétéméréol,14.21557,0.1194
2356554,Pétél Tiouma,14.18208,-1.80562
2356555,Pétél Tioudi,14.28036,-1.69928
2356556,Pétel Tiaoboli,14.1344,-2.03112
2356557,Pétél Poutiali,14.27202,-1.674
2356558,Petelnangué,13.94188,-2.58805
2356560,Petelkotia,14.30735,-0.65457
2356561,Pétèl Kolé,13.99308,0.41992
2356562,Pétélidé,14.07273,-0.49499
2356563,Pétèl Habè,13.96554,0.38499
2356564,Pétél Ganki,14.21546,-1.70748
2356565,Pétél Eré,14.18773,-1.79139
2356566,Pétél Damramél,14.41989,-1.74183
2356567,Pétél,14.24139,-1.71648
2356568,Pété Kofé,14.41609,-1.59891
2356569,Pétéguersé,14.03565,-0.36824
2356570,Pétégou,14.17097,-0.57069
2356571,Pétégoli,14.21473,-1.97315
2356572,Pétéga,14.29702,-1.68546
2356573,Péteboné,14.09808,-2.11437
2356574,Pétébarabe,14.37348,0.1244
2356575,Pétakolé,14.01188,0.05749
2356576,Pétakolé,13.74753,0.05071
2356577,Pétadji,14.37394,-1.93415
2356578,Pétabouli,14.33195,-0.60156
2356579,Péta,13.52034,0.36201
2356580,Péta,13.48061,-1.43673
2356581,Pèssogotenga,12.45,-0.76667
2356582,Pesso,11.31965,-4.26206
2356583,Péssévrou,14.502,-1.9693
2356584,Persélela,10.08333,-3.31667
2356585,Pèrkoa,12.63333,-2.25
2356586,Pèrkoa,12.38333,-2.56667
2356587,Pèrko,13.66589,-1.264
2356588,Périvé,12.1921,-4.5286
2356589,Périkora,10.66667,-3.21667
2356590,Périgban,10.23333,-3.35
2356591,Perbolinbiro,10.68333,-3.35
2356592,Pérankui,12.33333,-3.65
2356593,Pérakui,12.06667,-3.7
2356594,Pépin,12.96574,-1.84515
2356595,Péou Pamarèl,14.54324,-0.72015
2356596,Péoukoy,13.99105,-0.22337
2356597,Péoukoy,13.96657,-0.23173
2356598,Péotyanga,12.83333,-0.81667
2356599,Péopéora,12.84606,-1.96551
2356600,Pényon Fouanou,12.40742,2.14658
2356601,Pényon,12.44883,2.0843
2356602,Kikidéni,11.93667,0.39833
2356603,Pensoari,12.36667,0.71667
2356604,Penpèrga,13.47917,0.70035
2356605,Pimpindiangou,13.93052,-0.05934
2356606,Peno,11.56667,-1.46667
2356607,Péninko,10.23333,-4.23333
2356608,Péniana,10.91667,-3.78333
2356609,Forêt Classée de Péni,10.93333,-4.48333
2356610,Peni,10.94925,-4.47184
2356611,Penga,12.56667,0.2
2356612,Pènfwogo,13.10389,0.05191
2356613,Pènfwogo,13.16299,0.06031
2356614,Pénévou,11.63333,-3.61667
2356615,Pendyaga,12.56811,2.01234
2356616,Pendogou,13.3467,-1.82872
